timestamp,ax,ay,az,qs,qx,qy,qz,amag
1636030846240370.000000,0.003660,-0.011102,1.024434,-0.007625,0.030261,0.418745,0.907568,0.012249
1636030846249956.000000,0.008967,-0.010248,1.021567,-0.007625,0.030261,0.418745,0.907568,0.016304
1636030846259623.000000,0.009211,-0.009821,1.021079,-0.007625,0.030261,0.418745,0.907568,0.016314
1636030846269233.000000,0.009760,-0.010248,1.019676,-0.007625,0.030261,0.418745,0.907568,0.017191
1636030846278838.000000,0.017019,-0.009577,1.015711,-0.007625,0.030261,0.418745,0.907568,0.025904
1636030846288431.000000,0.011346,-0.009760,1.020164,-0.007625,0.030261,0.418745,0.907568,0.018781
1636030846298191.000000,-0.006649,-0.010675,1.028887,-0.007625,0.030261,0.418745,0.907568,0.014226
1636030846307781.000000,-0.015616,-0.010370,1.032303,-0.007625,0.030261,0.418745,0.907568,0.024398
1636030846317371.000000,-0.016897,-0.010431,1.032364,-0.007625,0.030261,0.418745,0.907568,0.026073
1636030846327103.000000,-0.019154,-0.010675,1.032364,-0.007625,0.030261,0.418745,0.907568,0.029115
1636030846336708.000000,-0.012627,-0.009455,1.029253,-0.007625,0.030261,0.418745,0.907568,0.020206
1636030846346310.000000,-0.009028,-0.008601,1.025532,-0.007625,0.030261,0.418745,0.907568,0.015394
1636030846355949.000000,-0.008723,-0.011834,1.026752,-0.007625,0.030261,0.418745,0.907568,0.017095
1636030846365528.000000,-0.003599,-0.012383,1.027484,-0.007625,0.030261,0.418745,0.907568,0.013388
1636030846375244.000000,-0.006893,-0.011590,1.026447,-0.007625,0.030261,0.418745,0.907568,0.015144
1636030846384815.000000,-0.008235,-0.013115,1.025166,-0.007625,0.030261,0.418745,0.907568,0.017539
1636030846394553.000000,-0.006161,-0.012017,1.024739,-0.007625,0.030261,0.418745,0.907568,0.014843
1636030846404127.000000,-0.007320,-0.011346,1.024739,-0.007625,0.030261,0.418745,0.907568,0.015359
1636030846413739.000000,-0.008845,-0.011346,1.025044,-0.007625,0.030261,0.418745,0.907568,0.016888
1636030846423482.000000,-0.009821,-0.011590,1.023397,-0.007625,0.030261,0.418745,0.907568,0.018090
1636030846433067.000000,-0.009760,-0.012505,1.023519,-0.007625,0.030261,0.418745,0.907568,0.018625
1636030846442662.000000,-0.008967,-0.012749,1.025410,-0.007625,0.030261,0.418745,0.907568,0.017982
1636030846452380.000000,-0.009394,-0.012444,1.025654,-0.007625,0.030261,0.418745,0.907568,0.018203
1636030846461939.000000,-0.008967,-0.011590,1.025227,-0.007625,0.030261,0.418745,0.907568,0.017180
1636030846471655.000000,-0.008967,-0.011285,1.024861,-0.007625,0.030261,0.418745,0.907568,0.016975
1636030846481221.000000,-0.009638,-0.011529,1.026447,-0.007625,0.030261,0.418745,0.907568,0.017852
1636030846490792.000000,-0.009638,-0.011041,1.027240,-0.007625,0.030261,0.418745,0.907568,0.017541
1636030846500517.000000,-0.009211,-0.010675,1.026264,-0.007625,0.030261,0.418745,0.907568,0.016842
1636030846510073.000000,-0.008967,-0.010492,1.026691,-0.007625,0.030261,0.418745,0.907568,0.016459
1636030846519783.000000,-0.008784,-0.010492,1.027301,-0.007625,0.030261,0.418745,0.907568,0.016260
1636030846529355.000000,-0.008662,-0.010797,1.026447,-0.007625,0.030261,0.418745,0.907568,0.016329
1636030846539067.000000,-0.008601,-0.010675,1.025654,-0.007625,0.030261,0.418745,0.907568,0.016184
1636030846548631.000000,-0.008601,-0.011224,1.026020,-0.007625,0.030261,0.418745,0.907568,0.016551
1636030846558361.000000,-0.006527,-0.012932,1.024495,-0.007625,0.030261,0.418745,0.907568,0.015888
1636030846567964.000000,-0.008784,-0.011529,1.027484,-0.007625,0.030261,0.418745,0.907568,0.016948
1636030846577601.000000,-0.010248,-0.010248,1.028826,-0.007625,0.030261,0.418745,0.907568,0.017750
1636030846587194.000000,-0.007686,-0.011529,1.025715,-0.007625,0.030261,0.418745,0.907568,0.015845
1636030846596795.000000,-0.008479,-0.011651,1.026081,-0.007625,0.030261,0.418745,0.907568,0.016719
1636030846606528.000000,-0.007625,-0.011590,1.025410,-0.007625,0.030261,0.418745,0.907568,0.015831
1636030846616106.000000,-0.004941,-0.009150,1.027545,-0.007625,0.030261,0.418745,0.907568,0.011513
1636030846625703.000000,-0.008479,-0.011346,1.026935,-0.007625,0.030261,0.418745,0.907568,0.016508
1636030846635439.000000,-0.014884,-0.016226,1.023397,-0.007625,0.030261,0.418745,0.907568,0.026577
1636030846645020.000000,-0.025498,-0.013908,1.021262,-0.007625,0.030261,0.418745,0.907568,0.038649
1636030846654623.000000,-0.011651,-0.013847,1.025166,-0.007625,0.030261,0.418745,0.907568,0.021523
1636030846664357.000000,-0.002074,-0.014762,1.027423,-0.007625,0.030261,0.418745,0.907568,0.015051
1636030846673953.000000,-0.014823,-0.014213,1.023824,-0.007625,0.030261,0.418745,0.907568,0.025327
1636030846683551.000000,-0.012688,-0.013908,1.025044,-0.007625,0.030261,0.418745,0.907568,0.022702
1636030846693179.000000,-0.013115,-0.013481,1.025654,-0.007625,0.030261,0.418745,0.907568,0.022929
1636030846702777.000000,-0.013847,-0.014579,1.024251,-0.007625,0.030261,0.418745,0.907568,0.024414
